  清除	  Clear
 · {0}到期	 · expires {0}
 · 重复	 · repeats
(无标题)	(untitled)
+1天	+1 day
10分钟前	10 min before
12 小时制	12-hour clock
15分钟前	15 min before
1周前	1 week before
1天前	1 day before
1小时前	1 hour before
2天前	2 days before
2小时前	2 hours before
30分钟前	30 min before
3天前	3 days before
5分钟前	5 min before
AI 与隐私	AI & privacy
AI 快速创建	AI quick add
AI 润色需要把这篇日记发送给大模型服务商处理。日记是最私密的内容，默认关闭。\n允许后可随时在「订阅与小鹿 AI」中关闭。	AI polish sends this diary entry to the AI provider for processing. Diaries are your most private content, so this is off by default.\nYou can turn it off anytime in "Subscription & Looka AI".
AI 返回为空，请重试	AI returned nothing, please retry
AI 造表情 / 主题（规划中）	AI-made stickers / themes (planned)
API Key 无效或已过期	API key invalid or expired
App 与网页端 looka.foyue.org 通用\n与自知录 zhi.foyue.org 同一账号体系	Works across the app and looka.foyue.org\nSame account as zhi.foyue.org
Looka 日历	Looka calendar
Looka 日程与任务提醒	Looka event & task reminders
M月d日 HH:mm	MMM d HH:mm
looka.foyue.org · 同账号登录	looka.foyue.org · same account
{0} - {1} · 全天	{0} - {1} · all day
{0} · {1}日	{0} · day {1}
{0} · {1}月{2}日	{0} · {1}/{2}
{0} · 全天	{0} · all day
{0} · 已验证	{0} · verified
{0} · 待验证（去邮箱点链接）	{0} · pending (check your inbox)
{0} · 第{1}个{2}	{0} · {1}th {2}
{0} · 至{1}月{2}日	{0} · until {1}/{2}
{0} 计划	{0} plan
{0}分钟前	{0} min before
{0}天前	{0} days before
{0}小时前	{0} hours before
{0}年	{0}
{0}年{1}月	{1}/{0}
{0}年{1}月{2}日(周{3})	{1}/{2}/{0} ({3})
{0}月	Month {0}
{0}月{1}日 - {2}月{3}日	{0}/{1} - {2}/{3}
{0}月{1}日({2})	{0}/{1} ({2})
· 小鹿 AI 对话不限次数\n	· Unlimited Looka AI chat\n
· 数据本机优先，登录后云同步（looka.foyue.org 网页端可用）\n	· Local-first data; cloud sync after sign-in (web at looka.foyue.org)\n
· 日历为中心：日程、任务、日记、表情围绕日期组织	· Calendar-centric: events, tasks, diary and stickers organized by date
· 日历为中心：日程、任务、日记、印章围绕日期组织\n	· Calendar-centric: events, tasks, diary and stamps organized by date\n
· 灵感来自敦煌壁画「九色鹿」：一鹿九色，故有九套主题\n	· Inspired by the Dunhuang Nine-Colored Deer: one deer, nine colors, nine themes\n
· 点击名称可改名换色\n· 长按可拖动排序 · 左滑删除\n· 隐藏后该分类日程不在日历显示\n· 删除分类时，其日程自动归入「未分类」	· Tap the name to rename or recolor\n· Long-press to drag and reorder · Swipe left to delete\n· Hidden categories are not shown on the calendar\n· Deleting a category moves its events to "Uncategorized"
· 独立原创品牌与设计	· Original independent brand & design
✅ 已添加任务：{0}	✅ Task added: {0}
✅ 已添加日程：{0}	✅ Event added: {0}
✅ 已添加笔记：{0}	✅ Note added: {0}
✨ AI 拆解为子任务	✨ AI split into subtasks
✨ AI 润色	✨ AI polish
「{0}」将从日历中移除	"{0}" will be removed from the calendar
「明天下午3点开会」这样说，我就帮你记上\n也可以问我：今天有什么安排？	Say "meeting at 3pm tomorrow" and I'll note it down\nOr ask me: what's on today?
一	Mon
一个账号，多端同行	One account, everywhere
一周开始日	Week starts on
一天一页，从今天开始记录吧	One page a day — start today
一鹿九色，选一个今天的颜色 🦌	Nine colors of the deer — pick today's 🦌
七夕	Qixi
七月	Month 7
三	Wed
三十	30th
三月	Month 3
上次同步 {0}	Last sync {0}
上移	Move up
下周一	Next Mon
下移	Move down
不是 Looka 备份文件	Not a Looka backup file
不登录也能守住数据：定期把备份文件存到网盘 / 微信收藏，换手机后用「恢复」找回。	Keep your data safe without an account: export backups to cloud drive or chat apps, then Restore on a new phone.
不限次	Unlimited
不限次 · 本月已聊 {0} 次	Unlimited · {0} chats this month
两台设备同时改一条数据时，较新的会胜出；被覆盖的版本留在这里，点击可复制找回。	When two devices edit the same item, the newer wins; the overwritten version is kept here — tap to copy.
个人	Personal
个月	months
中秋	Mid-Autumn
主题 · 九色	Theme · Nine colors
九月	Month 9
二	Tue
二十	20th
二月	Month 2
云同步	Cloud sync
五	Fri
五月	Month 5
仅本次	This one only
今天	Today
今天 · {0}	Today · {0}
今天安排	Today
今天有什么安排？	What's on today?
今天过得怎么样？	How was your day?
今日剩余 {0} 次（每日限速防滥用，明天恢复）	{0} left today (daily fair-use cap, resets tomorrow)
从备份文件恢复	Restore from backup
任务	Task
任务名	Task name
任务截止当天按时提醒	Reminds you on the due day
任务提醒	Task reminders
休日日期在日历中以红色显示	Days off show in red on the calendar
休日星期	Days off
会向该邮箱发送验证链接，点过才算绑定成功；之后忘记密码可用它找回。	We'll send a verification link; the binding completes once you click it. Then you can use this email to reset your password.
作为对话上下文，才能回答「今天有什么安排」	Used as chat context so Looka can answer "what's on today"
例如：下周三晚上8点跑步半小时	e.g. run for 30 min next Wednesday 8pm
保存	Save
保持原日期	Keep dates
保证提醒分钟不差；关闭时可能延迟 15 分钟	Keeps reminders exact to the minute; may drift up to 15 min if off
修复与体验优化	Fixes and improvements
修改后自知录（zhi.foyue.org）同步生效，其他设备将被退出。	Also changes your zhi.foyue.org password; other devices will be signed out.
修改失败	Change failed
修改密码	Change password
儿童节	Children's Day
允许上传日记正文？	Allow uploading diary text?
允许小鹿读取日程与任务	Let Looka read events & tasks
允许并继续	Allow & continue
允许日记润色上传正文	Allow diary polish to upload text
元宵	Lantern Festival
元旦	New Year
先填写日程名再保存模板	Enter an event name before saving a template
免费版	Free
兑换	Redeem
兑换失败	Redeem failed
兑换成功，已升级 Pro 🎉	Redeemed — upgraded to Pro 🎉
兑换成功，已升级 {0} 🎉	Redeemed — upgraded to {0} 🎉
兑换码	Redeem code
全天	All-day
全天日程默认提醒	Default all-day reminder
全部	All
全部数据，可用于恢复	Everything, restorable
八月	Month 8
六	Sat
六月	Month 6
关于 Looka	About Looka
关闭	Close
写今天的日记	Write today's diary
写日记	Diary
冬月	Month 11
准时	On time
分享	Share
分享日程	Share event
分类	Category
分类名称，如：工作	Category name, e.g. Work
分类管理	Manage categories
切换语言只改变界面文字，不会翻译你写的内容。\n切到英文时：默认周日开始、12 小时制、隐藏农历（都可在日历设置中单独修改，已手动设置过的不受影响）。	Switching language only changes the interface, never your content.\nIn English: week starts Sunday, 12-hour clock, lunar calendar hidden by default (all adjustable in Calendar Settings; your manual choices are kept).
初一	1st
初七	7th
初三	3rd
初九	9th
初二	2nd
初五	5th
初八	8th
初六	6th
初十	10th
初四	4th
删除	Delete
删除分类「{0}」？	Delete category "{0}"?
删除表情 {0}？	Delete sticker {0}?
删除哪些日程？	Delete which occurrences?
删除模板「{0}」？	Delete template "{0}"?
删除清单	Delete list
删除清单「{0}」？	Delete list "{0}"?
删除该日程？	Delete this event?
删除这天的日记？	Delete this diary entry?
删除这条笔记？	Delete this note?
到期任务提醒	Due task reminders
劳动节	Labor Day
十一	11th
十七	17th
十三	13th
十九	19th
十二	12th
十五	15th
十八	18th
十六	16th
十四	14th
十月	Month 10
表情	Stickers
去开启	Turn on
去设置	Open settings
发现新版本 	New version 
发现新版本 {0}	New version {0}
发送	Send
发送失败	Send failed
发送重置邮件	Send reset email
发送验证邮件	Send verification email
取消	Cancel
取消完成	Mark undone
取消归档	Unarchive
可爱版九色鹿 · 极简生活手帐	Cute Nine-Colored Deer · minimal life planner
同时创建日程并绑定	Also create & link an event
同步冲突记录	Sync conflicts
同步失败	Sync failed
同步失败：{0}	Sync failed: {0}
同步完成	Synced
同步进行中	Sync in progress
周	
周一	Monday
周三	Wednesday
周二	Tuesday
周五	Friday
周六	Saturday
周四	Thursday
周日	Sunday
周视图	Week view
和小鹿说点什么…	Say something to Looka…
嗨，我是小鹿 🦌	Hi, I'm Looka 🦌
四	Thu
四月	Month 4
国庆	National Day
在日历中显示系统日历	Show system calendars
在日历显示已完成任务	Show done tasks on calendar
地点	Location
填入后 AI 请求直连硅基流动、走你自己的账单，不再经过 Looka 服务端。	With your own key, AI calls go directly to SiliconFlow on your own bill, bypassing Looka's server.
备份	Backup
备份与恢复	Backup & restore
